"","Country","Capital","Population","Area","Region","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Crops....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"46","Chile","Santiago","16746491","756950.0","LATIN AMER. & CARIB    ",0,88,9900,962,2130,42,3,1523,581,6,493,447
"47","China","Beijing","1330044000","9596960.0","ASIA (EX. NEAR EAST)         ",-4,2418,5000,909,2667,125,15,1325,697,125,473,403
"50","Colombia","Bogotá","47790000","1138910.0","LATIN AMER. & CARIB    ",-31,2097,6300,925,1762,167,2,2048,558,125,342,533
"51","Comoros","Moroni","773407","2170.0","SUB-SAHARAN AFRICA                 ",0,7493,700,565,245,2332,2,3693,82,4,4,56
"55","Cuba","Havana","11423000","110860.0","LATIN AMER. & CARIB    ",-158,633,2900,970,747,76,2,1189,722,55,261,684
"60","Denmark","Copenhagen","5484000","43094.0","WESTERN EUROPE                     ",248,456,31100,1000,6146,19,3,1113,1036,18,246,735
"61","Djibouti","Djibouti","740528","23000.0","SUB-SAHARAN AFRICA                 ",0,10413,1300,679,228,0,1,3953,1931,179,225,596
"62","Dominica","Roseau","72813","754.0","LATIN AMER. & CARIB    ",-1387,1415,5400,940,3048,20,2,1527,673,177,328,495
"65","Ecuador","Quito","14790608","283560.0","LATIN AMER. & CARIB    ",-858,2366,3300,925,1256,493,2,2229,423,7,312,618
"66","Egypt","Cairo","80471869","1001450.0","NORTHERN AFRICA                    ",-22,3259,4000,577,1318,48,1,2294,523,149,357,493
"69","Eritrea","Asmara","5792984","121320.0","SUB-SAHARAN AFRICA                 ",0,7487,700,586,79,3,15,3433,96,102,254,643
"70","Estonia","Tallinn","1291170","45226.0","BALTICS                            ",-316,787,12300,998,3338,45,3,1004,1325,4,294,666
"71","Ethiopia","Addis Ababa","88013491","1127127.0","SUB-SAHARAN AFRICA                 ",0,9532,700,427,82,75,2,3798,1486,475,99,426
"74","Fiji","Suva","875983","18270.0","OCEANIA                            ",-314,1262,5800,937,1126,465,2,2255,565,89,135,776
"75","Finland","Helsinki","5244000","337030.0","WESTERN EUROPE                     ",95,357,27400,1000,4053,3,3,1045,986,28,295,676
"76","France","Paris","64768389","547030.0","WESTERN EUROPE                     ",66,426,27600,990,5864,207,4,1199,914,22,214,764
"80","Gabon","Libreville","1545255","267667.0","SUB-SAHARAN AFRICA                 ",0,5364,5500,632,274,66,2,3616,1225,61,592,348
"82","Georgia","Tbilisi","4630000","69700.0","C.W. OF IND. STATES ",-47,1859,2500,990,1466,386,3,1041,923,172,275,553
"83","Germany","Berlin","81802257","357021.0","WESTERN EUROPE                     ",218,416,27600,990,6679,59,3,825,1062,9,296,695
"84","Ghana","Accra","24339838","239460.0","SUB-SAHARAN AFRICA                 ",-64,5143,2200,748,144,967,2,3052,972,366,246,387
"86","Greece","Athens","11000000","131940.0","WESTERN EUROPE                     ",235,553,20000,975,5897,878,3,968,1024,54,213,733
"88","Grenada","St. George's","107818","344.0","LATIN AMER. & CARIB    ",-1392,1462,5000,980,3645,2941,2,2208,688,54,18,766
"89","Guadeloupe","Basse-Terre","443000","1780.0","LATIN AMER. & CARIB    ",-15,86,8000,900,4638,355,2,1505,609,15,17,68
"91","Guatemala","Guatemala City","13550440","108890.0","LATIN AMER. & CARIB    ",-167,3593,4100,706,921,503,2,2988,52,227,188,585
"93","Guinea","Conakry","10324025","245857.0","SUB-SAHARAN AFRICA                 ",-306,9037,2100,359,27,258,2,4176,1548,237,362,401
"94","Guinea-Bissau","Bissau","1565126","36120.0","SUB-SAHARAN AFRICA                 ",-157,10717,800,424,74,882,2,3722,1653,62,12,26
"95","Guyana","Georgetown","748486","214970.0","LATIN AMER. & CARIB    ",-207,3326,4000,988,1435,15,2,1828,828,37,203,427
"96","Haiti","Port-au-Prince","9648924","27750.0","LATIN AMER. & CARIB    ",-34,7345,1600,529,169,1161,2,3644,1217,28,2,52
"98","Honduras","Tegucigalpa","7989415","112090.0","LATIN AMER. & CARIB    ",-199,2932,2600,762,675,322,2,2824,528,139,312,549
"100","Hungary","Budapest","9982000","93030.0","EASTERN EUROPE                     ",86,857,13900,994,3362,206,3,972,1311,37,312,651
"101","Iceland","Reykjavik","308910","103000.0","WESTERN EUROPE                     ",238,331,30900,999,6477,0,3,1364,672,86,15,765
"102","India","New Delhi","1173108018","3287590.0","ASIA (EX. NEAR EAST)         ",-7,5629,2900,595,454,274,25,2201,818,186,276,538
"103","Indonesia","Jakarta","242968342","1919440.0","ASIA (EX. NEAR EAST)         ",0,356,3200,879,520,723,2,2034,625,134,458,408
"104","Iran","Tehran","76923300","1648000.0","ASIA (EX. NEAR EAST)         ",-84,4158,7000,794,2764,139,1,17,555,116,424,46
"105","Iraq","Baghdad","29671605","437072.0","NEAR EAST                          ",0,5025,1500,404,386,78,1,3198,537,73,666,261
"106","Ireland","Dublin","4622917","70280.0","WESTERN EUROPE                     ",499,539,29600,980,5005,3,3,1445,782,5,46,49
"108","Israel","None","7353985","20770.0","NEAR EAST                          ",68,703,19800,954,4623,417,3,1797,618,26,317,657
"111","Jamaica","Kingston","2847232","10991.0","LATIN AMER. & CARIB    ",-492,1236,3900,879,1240,1016,2,2082,652,49,337,615
"112","Japan","Tokyo","127288000","377835.0","ASIA (EX. NEAR EAST)         ",0,326,28200,990,4612,96,3,937,916,17,258,725
"114","Jordan","Amman","6407085","92300.0","NEAR EAST                          ",659,1735,4300,913,1045,183,1,2125,265,33,287,68
"115","Kazakhstan","Astana","15340000","2717300.0","C.W. OF IND. STATES ",-335,2921,6300,984,1641,5,4,16,942,67,386,547
"116","Kenya","Nairobi","40046566","582650.0","SUB-SAHARAN AFRICA                 ",-1,6147,1000,851,81,98,15,3972,1402,163,188,651
"119","Kuwait","Kuwait City","2789132","17820.0","NEAR EAST                          ",1418,995,19000,835,2110,11,1,2194,241,4,479,516
"120","Kyrgyzstan","Bishkek","5776500","198500.0","C.W. OF IND. STATES ",-245,3564,1600,970,840,35,25,228,708,353,208,439
"121","Laos","Vientiane","6368162","236800.0","ASIA (EX. NEAR EAST)         ",0,8522,1700,664,141,35,2,3549,1155,455,287,258
"122","Latvia","Riga","2217969","64589.0","BALTICS                            ",-223,955,10200,998,3214,47,3,924,1366,4,261,699
